title,ytlink,artist,wikipage
Blinding Lights,https://www.youtube.com/watch?v=4NRXx6U8ABQ,The Weeknd,https://en.wikipedia.org/wiki/Blinding_Lights
Circles,https://www.youtube.com/watch?v=wXhTHyIgQ_U,Post Malone,https://en.wikipedia.org/wiki/Circles_(Post_Malone_song)
The Box,https://www.youtube.com/watch?v=UNZqm3dxd2w,Roddy Ricch,https://en.wikipedia.org/wiki/The_Box_(Roddy_Ricch_song)
Don't Start Now,https://www.youtube.com/watch?v=oygrmJFKYZY,Dua Lipa,https://en.wikipedia.org/wiki/Don%27t_Start_Now
Rockstar,https://www.youtube.com/watch?v=mxFstYSbBmc,DaBaby featuring Roddy Ricch,https://en.wikipedia.org/wiki/Rockstar_(DaBaby_song)
Adore You,https://www.youtube.com/watch?v=yezDEWako8U,Harry Styles,https://en.wikipedia.org/wiki/Adore_You_(Harry_Styles_song)
Life Is Good,https://www.youtube.com/watch?v=l0U7SxXHkPY,Future featuring Drake,https://en.wikipedia.org/wiki/Life_Is_Good_(song)
Memories,https://www.youtube.com/watch?v=SlPhMPnQ58k,Maroon 5,https://en.wikipedia.org/wiki/Memories_(Maroon_5_song)
The Bones,https://www.youtube.com/watch?v=gvPMVKUI9go,Maren Morris,https://en.wikipedia.org/wiki/The_Bones_(song)
Someone You Loved,https://www.youtube.com/watch?v=zABLecsR5UE,Lewis Capaldi,https://en.wikipedia.org/wiki/Someone_You_Loved
Say So,https://www.youtube.com/watch?v=pok8H_KF1FA,Doja Cat,https://en.wikipedia.org/wiki/Say_So_(Doja_Cat_song)
I Hope,https://www.youtube.com/watch?v=qcCH6JpcK5w,Gabby Barrett featuring Charlie Puth,https://en.wikipedia.org/wiki/I_Hope_(Gabby_Barrett_song)
Whats Poppin,https://www.youtube.com/watch?v=w9uWPBDHEKE,"Jack Harlow featuring DaBaby, Tory Lanez and Lil Wayne",https://en.wikipedia.org/wiki/Whats_Poppin
Dance Monkey,https://www.youtube.com/watch?v=q0hyYWKXF0Q,Tones and I,https://en.wikipedia.org/wiki/Dance_Monkey
Savage,https://www.youtube.com/watch?v=EOxj2ROIxok,Megan Thee Stallion featuring Beyoncé,https://en.wikipedia.org/wiki/Savage_(song)
Roxanne,https://www.youtube.com/watch?v=16YnOUnbE6s,Arizona Zervas,https://en.wikipedia.org/wiki/Roxanne_(Arizona_Zervas_song)
Intentions,https://www.youtube.com/watch?v=9p2wMpVVtXg,Justin Bieber featuring Quavo,https://en.wikipedia.org/wiki/Intentions_(Justin_Bieber_song)
Everything I Wanted,https://www.youtube.com/watch?v=EgBJmlPo8Xw,Billie Eilish,https://en.wikipedia.org/wiki/Everything_I_Wanted
Roses,https://www.youtube.com/watch?v=XHA-QM-q-3E,Saint Jhn,https://en.wikipedia.org/wiki/Roses_(Saint_Jhn_song)
Watermelon Sugar,https://www.youtube.com/watch?v=E07s5ZYygMg,Harry Styles,https://en.wikipedia.org/wiki/Watermelon_Sugar
Before You Go,https://www.youtube.com/watch?v=Jtauh8GcxBY,Lewis Capaldi,https://en.wikipedia.org/wiki/Before_You_Go_(Lewis_Capaldi_song)
Falling,https://www.youtube.com/watch?v=L7mfjvdnPno,Trevor Daniel,https://en.wikipedia.org/wiki/Falling_(Trevor_Daniel_song)
"10,000 Hours",https://www.youtube.com/watch?v=Y2E71oe0aSM,Dan + Shay and Justin Bieber,"https://en.wikipedia.org/wiki/10,000_Hours"
WAP,https://www.youtube.com/watch?v=hsm4poTWjMs,Cardi B featuring Megan Thee Stallion,https://en.wikipedia.org/wiki/WAP_(song)
Ballin',https://www.youtube.com/watch?v=YS0h2-hy9rw,Mustard featuring Roddy Ricch,https://en.wikipedia.org/wiki/Ballin%27_(Mustard_song)
Hot Girl Bummer,https://www.youtube.com/watch?v=yMlKJGKyoCo,Blackbear,https://en.wikipedia.org/wiki/Hot_Girl_Bummer
Blueberry Faygo,https://www.youtube.com/watch?v=V_jHc_n0p9c,Lil Mosey,https://en.wikipedia.org/wiki/Blueberry_Faygo
Heartless,https://www.youtube.com/watch?v=1DpH-icPpl0,The Weeknd,https://en.wikipedia.org/wiki/Heartless_(The_Weeknd_song)
Bop,https://www.youtube.com/watch?v=28hYUZMufDg,DaBaby,https://en.wikipedia.org/wiki/Bop_(DaBaby_song)
Lose You to Love Me,https://www.youtube.com/watch?v=zlJDTxahav0,Selena Gomez,https://en.wikipedia.org/wiki/Lose_You_to_Love_Me
Good as Hell,https://www.youtube.com/watch?v=SmbmeOgWsqE,Lizzo,https://en.wikipedia.org/wiki/Good_as_Hell
Toosie Slide,https://www.youtube.com/watch?v=xWggTb45brM,Drake,https://en.wikipedia.org/wiki/Toosie_Slide
Break My Heart,https://www.youtube.com/watch?v=Nj2U6rhnucI,Dua Lipa,https://en.wikipedia.org/wiki/Break_My_Heart_(Dua_Lipa_song)
Chasin' You,,Morgan Wallen,https://en.wikipedia.org/wiki/Chasin%27_You
Savage Love (Laxed – Siren Beat),https://www.youtube.com/watch?v=Jvcv8trEuao,Jawsh 685 and Jason Derulo,https://en.wikipedia.org/wiki/Savage_Love_(Laxed_%E2%80%93_Siren_Beat)
No Guidance,https://www.youtube.com/watch?v=6L_k74BOLag,Chris Brown featuring Drake,https://en.wikipedia.org/wiki/No_Guidance
My Oh My,https://www.youtube.com/watch?v=6fd2kkLmSDQ,Camila Cabello featuring DaBaby,https://en.wikipedia.org/wiki/My_Oh_My_(Camila_Cabello_song)
Dynamite,https://www.youtube.com/watch?v=gdZLi9oWNZg,BTS,https://en.wikipedia.org/wiki/Dynamite_(BTS_song)
Go Crazy,https://www.youtube.com/watch?v=dPhwbZBvW2o,Chris Brown and Young Thug,https://en.wikipedia.org/wiki/Go_Crazy_(Chris_Brown_and_Young_Thug_song)
High Fashion,,Roddy Ricch featuring Mustard,https://en.wikipedia.org/wiki/High_Fashion_(song)
Laugh Now Cry Later,https://www.youtube.com/watch?v=JFm7YDVlqnI,Drake featuring Lil Durk,https://en.wikipedia.org/wiki/Laugh_Now_Cry_Later
Woah,https://www.youtube.com/watch?v=nUEqPtVGIpE-A,Lil Baby,https://en.wikipedia.org/wiki/Woah_(Lil_Baby_song)
Death Bed,https://www.youtube.com/watch?v=jJPMnTXl63E,Powfu featuring Beabadoobee,https://en.wikipedia.org/wiki/Death_Bed_(Coffee_for_Your_Head)
Señorita,https://www.youtube.com/watch?v=Pkh8UtuejGw,Shawn Mendes and Camila Cabello,https://en.wikipedia.org/wiki/Se%C3%B1orita_(Shawn_Mendes_and_Camila_Cabello_song)
Highest in the Room,https://www.youtube.com/watch?v=tfSS1e3kYeo,Travis Scott,https://en.wikipedia.org/wiki/Highest_in_the_Room
Bad Guy,https://www.youtube.com/watch?v=DyDfgMOUjCI,Billie Eilish,https://en.wikipedia.org/wiki/Bad_Guy_(Billie_Eilish_song)
Mood,https://www.youtube.com/watch?v=GrAchTdepsU,24kGoldn featuring Iann Dior,https://en.wikipedia.org/wiki/Mood_(song)
Rain on Me,https://www.youtube.com/watch?v=AoAm4om0wTs,Lady Gaga and Ariana Grande,https://en.wikipedia.org/wiki/Rain_on_Me_(Lady_Gaga_and_Ariana_Grande_song)
For the Night,https://www.youtube.com/watch?v=Q9pjm4cNsfc,Pop Smoke featuring Lil Baby and DaBaby,https://en.wikipedia.org/wiki/For_the_Night
Ritmo (Bad Boys for Life),,Black Eyed Peas and J Balvin,https://en.wikipedia.org/wiki/Ritmo_(Bad_Boys_for_Life)
Heart on Ice,https://www.youtube.com/watch?v=deMLg4FPFhQ,Rod Wave,https://en.wikipedia.org/wiki/Heart_on_Ice
Nobody but You,https://www.youtube.com/watch?v=4h9o0Gujuoc,Blake Shelton and Gwen Stefani,https://en.wikipedia.org/wiki/Nobody_but_You_(Blake_Shelton_and_Gwen_Stefani_song)
Trampoline,,Shaed,https://en.wikipedia.org/wiki/Trampoline_(Shaed_song)
Come & Go,https://www.youtube.com/watch?v=5Di20x6vVVU,Juice Wrld and Marshmello,https://en.wikipedia.org/wiki/Come_%26_Go_(Juice_Wrld_and_Marshmello_song)
Truth Hurts,https://www.youtube.com/watch?v=P00HMxdsVZI,Lizzo,https://en.wikipedia.org/wiki/Truth_Hurts_(song)
If the World Was Ending,https://www.youtube.com/watch?v=1jO2wSpAoxA,JP Saxe featuring Julia Michaels,https://en.wikipedia.org/wiki/If_the_World_Was_Ending
We Paid,https://www.youtube.com/watch?v=GErG9femMQk-A,Lil Baby and 42 Dugg,https://en.wikipedia.org/wiki/We_Paid
Yummy,https://www.youtube.com/watch?v=8EJ3zbKTWQ8,Justin Bieber,https://en.wikipedia.org/wiki/Yummy_(Justin_Bieber_song)
One Man Band,,Old Dominion,https://en.wikipedia.org/wiki/One_Man_Band_(Old_Dominion_song)
Got What I Got,,Jason Aldean,https://en.wikipedia.org/wiki/Got_What_I_Got
Sunday Best,https://www.youtube.com/watch?v=83KqwEEGw4,Surfaces,https://en.wikipedia.org/wiki/Sunday_Best_(Surfaces_song)
Godzilla,https://www.youtube.com/watch?v=r_0JjYUe5jo,Eminem featuring Juice Wrld,https://en.wikipedia.org/wiki/Godzilla_(Eminem_song)
Bandit,https://www.youtube.com/watch?v=Sw5fNI400E4,Juice Wrld and YoungBoy Never Broke Again,https://en.wikipedia.org/wiki/Bandit_(song)
Party Girl,https://www.youtube.com/watch?v=1KlNDZpCkHc,StaySolidRocky,https://en.wikipedia.org/wiki/Party_Girl_(StaySolidRocky_song)
Die from a Broken Heart,,Maddie & Tae,https://en.wikipedia.org/wiki/Die_from_a_Broken_Heart
Popstar,,DJ Khaled featuring Drake,https://en.wikipedia.org/wiki/Popstar_(DJ_Khaled_song)
All I Want for Christmas Is You,https://www.youtube.com/watch?v=yXQViqx6GMY,Mariah Carey,https://en.wikipedia.org/wiki/All_I_Want_for_Christmas_Is_You
One of Them Girls,,Lee Brice,https://en.wikipedia.org/wiki/One_of_Them_Girls
Hard to Forget,https://www.youtube.com/watch?v=Wxhv_HsEIl4,Sam Hunt,https://en.wikipedia.org/wiki/Hard_to_Forget
One Margarita,,Luke Bryan,https://en.wikipedia.org/wiki/One_Margarita
Panini,https://www.youtube.com/watch?v=bXcSLI58-h8,Lil Nas X,https://en.wikipedia.org/wiki/Panini_(song)
Hot,https://www.youtube.com/watch?v=leJNDpm_G10,Young Thug featuring Gunna,https://en.wikipedia.org/wiki/Hot_(Young_Thug_song)
I Hope You're Happy Now,,Carly Pearce and Lee Brice,https://en.wikipedia.org/wiki/I_Hope_You%27re_Happy_Now_(Carly_Pearce_and_Lee_Brice_song)
Emotionally Scarred,,Lil Baby,https://en.wikipedia.org/wiki/Emotionally_Scarred
Suicidal,https://www.youtube.com/watch?v=9OmgXxiKV7A,YNW Melly featuring Juice Wrld,https://en.wikipedia.org/wiki/Suicidal_(song)
The Bigger Picture,https://www.youtube.com/watch?v=_VDGysJGNoI,Lil Baby,https://en.wikipedia.org/wiki/The_Bigger_Picture_(song)
Only Human,https://www.youtube.com/watch?v=kBNt8hYvn8A,Jonas Brothers,https://en.wikipedia.org/wiki/Only_Human_(Jonas_Brothers_song)
The Woo,https://www.youtube.com/watch?v=G6XthQpk8uk,Pop Smoke featuring 50 Cent and Roddy Ricch,https://en.wikipedia.org/wiki/The_Woo
Sum 2 Prove,https://www.youtube.com/watch?v=xOjy0tL5EuA,Lil Baby,https://en.wikipedia.org/wiki/Sum_2_Prove
Stuck with U,https://www.youtube.com/watch?v=pE49WK-oNjU,Ariana Grande and Justin Bieber,https://en.wikipedia.org/wiki/Stuck_with_U
Mood Swings,https://www.youtube.com/watch?v=Bo5hepNudl0,Pop Smoke featuring Lil Tjay,https://en.wikipedia.org/wiki/Mood_Swings_(Pop_Smoke_song)
You Should Be Sad,https://www.youtube.com/watch?v=8nBFqZppIF0,Halsey,https://en.wikipedia.org/wiki/You_Should_Be_Sad
Dior,https://www.youtube.com/watch?v=oorVWW9ywG0,Pop Smoke,https://en.wikipedia.org/wiki/Dior_(song)
Supalonely,https://www.youtube.com/watch?v=Rb6Scz-5YOs,Benee featuring Gus Dapperton,https://en.wikipedia.org/wiki/Supalonely
Even Though I'm Leaving,,Luke Combs,https://en.wikipedia.org/wiki/Even_Though_I%27m_Leaving
The Scotts,,"The Scotts, Travis Scott and Kid Cudi",https://en.wikipedia.org/wiki/The_Scotts
Juicy,https://www.youtube.com/watch?v=YIALlhlyqO4,Doja Cat and Tyga,https://en.wikipedia.org/wiki/Juicy_(Doja_Cat_song)
Be Like That,https://www.youtube.com/watch?v=GEAy7eXb2lo,"Kane Brown, Swae Lee and Khalid","https://en.wikipedia.org/wiki/Be_Like_That_(Kane_Brown,_Swae_Lee_and_Khalid_song)"
Homesick,,Kane Brown,https://en.wikipedia.org/wiki/Homesick_(Kane_Brown_song)
Rags2Riches,https://www.youtube.com/watch?v=JxAlZOn4QhM,Rod Wave featuring ATR Son Son,https://en.wikipedia.org/wiki/Rags2Riches_(song)
Bluebird,,Miranda Lambert,https://en.wikipedia.org/wiki/Bluebird_(Miranda_Lambert_song)
Wishing Well,https://www.youtube.com/watch?v=C5i-UnuUKUI,Juice Wrld,https://en.wikipedia.org/wiki/Wishing_Well_(Juice_Wrld_song)
Does to Me,,Luke Combs featuring Eric Church,https://en.wikipedia.org/wiki/Does_to_Me
Pussy Fairy (OTW),https://www.youtube.com/watch?v=wy2ujCUtCHU,Jhené Aiko,https://en.wikipedia.org/wiki/Pussy_Fairy_(OTW)
ILY (I Love You Baby),https://www.youtube.com/watch?v=89degLrNZM8,Surf Mesa featuring Emilee,https://en.wikipedia.org/wiki/ILY_(I_Love_You_Baby)
More Than My Hometown,,Morgan Wallen,https://en.wikipedia.org/wiki/More_Than_My_Hometown
Lovin' on You,,Luke Combs,https://en.wikipedia.org/wiki/Lovin%27_on_You
Said Sum,https://www.youtube.com/watch?v=T8pi91qWnRw,Moneybagg Yo,https://en.wikipedia.org/wiki/Said_Sum
Slide,https://www.youtube.com/watch?v=SUJloylmEZM,H.E.R. featuring YG,https://en.wikipedia.org/wiki/Slide_(H.E.R._song)
Walk Em Down,https://www.youtube.com/watch?v=fyIcQ1Xl-rs,NLE Choppa featuring Roddy Ricch,https://en.wikipedia.org/wiki/Walk_Em_Down
